name,padrillo,M,Dam_Mean_T3_BSN,Best_Foal_Bsn,mother,Momsiblings,uncles,M_age_at_birth,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,birth_eday,MomSib_wnrs3yo_at2y,sex,FathSibSTKWnrsPerOffs,FathSibSTKWnrShL4Gens,PS,PR,PRS,date,title,source,eday,auctionYear,auctionOrder,haras1,ageAtAuction,valueUSDB,pricePerBp,Sire_PS,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
GLORY SCAPE,CITYSCAPE (GB),QUEEN AND GLORY,101.58823,120.70451,.299303,-.076497905,.014460862,6.9890413,0,0,29jul2016,0,1,.013157895,.014705882,,,,"26 sep, 2018",Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,26sep2018,2018,46,Firmamento,2.1616437,6558.2373,1245.2681,.14511466,.11111111,y-n-n,
BAMBA CITY,CITYSCAPE (GB),THUNDER BAMBA,99.261253,103.68063,.090809762,.093900092,.00020525604,8.8547945,2,0,30jul2016,1,2,.012820513,.014705882,,,,"26 sep, 2018",Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,26sep2018,2018,22,Firmamento,2.1589041,9706.1914,1188.0603,.14504176,.11111111,y-n-n,5.2486339
RITMO EXOTICO,REMOTE (GB),EXOTIC CELEBRE,97.627846,,.15246993,-.076497905,.051758796,7.920548,0,0,30jul2016,0,2,0,0,,,,"26 sep, 2018",Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,26sep2018,2018,9,Firmamento,2.1589041,7345.2256,1452.9143,.13347012,,y-n-n,
RIMOUT PARTY,REMOTE (GB),FIESTERA ROMA,110.42702,115.59922,-.18055689,.13399372,-.0072454512,13.79178,4,0,31jul2016,1,1,0,0,,,,"26 sep, 2018",Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,26sep2018,2018,33,Firmamento,2.1561644,12329.486,2958.5029,.13335139,,n-n-n,2.8093002
NOCHE DE COPAS,SUGGESTIVE BOY,NOCHE OSCURA (CHI),107.9529,105.50384,.20365477,.14277926,.0047139525,14.052054,4,0,20aug2016,1,1,0,0,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,20,Carampangue,2.0849316,20196.789,4573.125,.26892984,,y-n-n,1.123224
TOMI TREASURE,TREASURE BEACH (GB),RE EXALSA,82.555573,72.238068,-.036583662,-.076497905,-.0028416514,10.808219,2,0,02sep2016,0,2,0,0,,,,"15 aug, 2018",Resumen Venta Copa Agosto  Tattersall De Palermo,https://www.turfdiario.com/resumen-venta-copa-agosto-tattersall-de-palermo/,15aug2018,2018,42,Aitue,1.9506849,3025.2102,3718.5188,.20108499,.11111111,n-n-n,.14105338
EDUCADO SOY,GALICADO,EDITINA,,117.74847,.017528325,.15121257,-.010198407,9.9753428,3,0,10aug2016,1,2,0,0,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,24,Abolengo,2.0328767,5211.7261,964.64136,.046487987,,n-n-n,1.990297
POP FUN,EXPRESSIVE HALO,POP FUNKY,,83.62999,.14975235,-.076497905,.017678209,3.8438356,0,0,10aug2016,0,2,.0080000004,.0086956518,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,21,Abolengo,2.0328767,2345.2769,691.52777,.12722142,.046808511,n-n-n,
MARCIA O,EQUAL STRIPES,MARCIANA,80.506363,111.82327,-.31471556,.45086855,.034887254,21.972603,10,1,12aug2016,5,1,.041522492,.038251366,,,,"13 sep, 2018",Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,13sep2018,2018,9,Abolengo,2.0876713,18701.299,7281.9116,.29748133,.080627307,n-n-n,3.6720519
ETERNA LIZ,LIZARD ISLAND (USA),ETERNAL SUN,101.58179,101.3106,.14679152,-.076497905,.00210426,8.8931503,0,0,16aug2016,0,1,.026974952,.023460411,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,6,Abolengo,2.0164382,10423.452,3552.3384,.22697636,.049479168,y-n-n,0
REINHARDT RYE,CATCHER IN THE RYE (IRE),BURG REIN,111.01398,112.50584,.1217705,-.076497905,.021787532,7.128767,0,0,26aug2016,0,2,.025870647,.03160271,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,77,,1.9753425,25125.627,11793.719,.1477024,.062734447,y-n-n,0
IBARAMA,SUGGESTIVE BOY,IBIZA CAP,76.477104,83.818199,.10434759,-.076497905,.075566143,6.8630137,0,0,13aug2016,0,1,0,0,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,35,Pozo De Luna,2.0246575,3387.6221,1330.917,.26960897,,n-n-n,
HALO MARS,CIMA DE TRIOMPHE (IRE),HALO SUN (USA),,102.2048,-.0044096112,.20970678,.009126991,15.284931,5,0,03aug2016,1,2,.012698413,.013245033,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,7,Santa Ines,2.1315069,3366.1316,680.13007,.1445016,.053865653,n-n-n,1.681648
HANDANOVICH,EXCHANGE RATE (USA),HANDPRINT (USA),,106.75159,.33131576,-.076497905,-.02065783,4.3534245,0,0,02aug2016,0,2,.060810812,.05859375,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,8,Santa Ines,2.1342466,14241.326,2847.1411,.33732757,.094727434,n-n-n,
LA MANGANETA,INDY POINT,LA ENTRETENIDA,,108.80589,.073170662,.28449416,.02927722,7.9041095,3,0,02aug2016,1,1,0,0,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,41,Chenaut,2.0547945,2866.4495,473.54797,.23071729,0,n-n-n,4.3176055
CAMP DE PERU,CAMPANOLOGIST (USA),DE PERU,80.553757,102.54513,-.26467276,.24374369,.031633526,19.079453,6,1,07aug2016,2,1,.010752688,.012345679,,,,"26 sep, 2018",Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,26sep2018,2018,43,Firmamento,2.1369863,7082.8965,2205.8823,.067489132,.081081077,n-n-n,1.4891415
