name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
EXUBERANT,DADDY LONG LEGS (USA),EXCHANGELY,Macho,El Chanar,81,2022,47000,27244.234,0.6709828,0.051948503,0.03485655,2022-05-12,2020-08-26
MR BAUTI,SEÑOR CANDY (USA),DEAR PRINCESS,Macho,Rodeo Chico,10,2022,49000,27216.986,0.6981216,0.04670878,0.03260841,2022-03-30,2020-10-11
WALDHAUS,EQUAL STRIPES,WIZZ AIR,Macho,La Pasion,11,2023,57000,27183.662,0.73635083,0.086672656,0.06382148,2023-04-27,2021-07-12
CATEDRATICO LUNFO,FORTIFY (USA),SHY LUNFARDA,Macho,La Nora,1,2019,1250000,27144.408,0.7861355,0.06900024,0.054243535,2019-05-26,2017-10-28
REIKINA RYE,CATCHER IN THE RYE (IRE),FORTY REINA,Hembra,La Biznaga,78,2018,810000,27135.678,0.6379342,0.037063643,0.023644166,2018-08-17,2016-10-07
JOY BAVARIAN,FORTIFY (USA),GLORIEUSE BAVARDE,Hembra,La Biznaga,75,2018,810000,27135.678,0.6884556,0.16530001,0.11380172,2018-08-17,2016-10-17
JUGADORA CHECK,SAFETY CHECK (IRE),QUE BUENA JUGADORA,Hembra,Tradicion,16,2024,33500000,27125.506,0.4667973,0.019641083,0.009168404,2024-09-24,2022-09-19
MOON STRIPES,EQUAL STRIPES,MOON BASE,Macho,Carampangue,1,2022,49000,27122.236,0.49730942,0.03128504,0.015558345,2022-06-26,2020-10-20
EMPIRISTA,EQUAL STRIPES,SING MY NAME,Hembra,Abolengo,66,2020,36000,27107.26,0.556746,0.06738061,0.037513886,2020-03-15,2018-08-02
SEDUCILA,EQUAL STRIPES,SAMBULLIDA,Hembra,Abolengo,33,2020,36000,27107.26,0.55897516,0.08195929,0.04581321,2020-03-15,2018-08-28
FIND YOUR DREAM,IN THE DARK,FINDER'S DREAM (USA),Macho,Vacacion,109,2020,36000,27107.26,0.4586439,0.04533334,0.02079186,2020-03-15,2018-08-24
BEHIND THE MASK,HURRICANE CAT (USA),BEAUTY ROY,Hembra,Vacacion,24,2020,36000,27107.26,0.73198926,0.16540799,0.12107687,2020-03-15,2018-07-29
EL BUEN REGRESO,IL CAMPIONE (CHI),INDRALANDIA,Macho,El Paraiso,16,2023,55000,27074.418,0.71570724,0.11798137,0.08444012,2023-04-23,2021-10-10
EL PARADIGMA,IL CAMPIONE (CHI),SILBADA,Macho,El Paraiso,37,2023,55000,27074.418,0.8037516,0.11062212,0.08891271,2023-04-23,2021-08-28
LE BURGUES,LE BLUES,LA LIHUE,Macho,El Paraiso,45,2023,55000,27074.418,0.74459463,0.060295764,0.044895902,2023-04-23,2021-09-08
JAQUE GIRL,DANIEL BOONE (BRZ),JOLIE JOAN,Hembra,Santa Maria De Araras,13,2023,51000,27042.918,0.70767486,0.06718167,0.047542777,2023-04-02,2021-08-27
HAPPY CHAMP,TREASURE BEACH (GB),HAPPY GIRL,Macho,El Chanar,17,2023,50000,27041.545,0.78656405,0.021806246,0.01715201,2023-04-11,2021-09-22
ASTUCIA PURA,EQUAL STRIPES,ASPERGES,Hembra,Abolengo,3,2020,51000,27031.44,0.5380874,0.05776124,0.031080598,2020-07-27,2018-10-04
IGNATIUS,HURRICANE CAT (USA),IMPLOSION,Macho,El Mallin,10,2024,30000,26984.77,0.7629313,0.05693985,0.043441195,2024-04-09,2022-10-02
WARHOL,STORM EMBRUJADO,WILD WILD LUCK,Macho,La Leyenda,17,2024,30000,26984.77,0.79869586,0.14790288,0.11812942,2024-04-09,2022-08-07
MR. VERSACE,FORTIFY (USA),MISS TOP MODEL,Macho,Santa Ines,8,2023,56000,26965.002,0.69679046,0.09511542,0.06627552,2023-05-03,2021-08-19
CHANTA COSMICO,COSMIC TRIGGER,JOY MADONNA,Macho,Firmamento,7,2024,34000,26923.576,0.67424256,0.06658882,0.044897016,2024-09-25,2022-08-25
EVER DADDY,DADDY LONG LEGS (USA),EVOLUCIONAR,Macho,Abolengo,13,2022,46000,26905.695,0.46969038,0.05416455,0.025440568,2022-05-22,2020-10-18
WAGON,ORPEN (USA),WATER LEVEL,Macho,Carampangue,2,2022,48500,26845.479,0.7324913,0.10906648,0.07989025,2022-06-26,2020-10-04
MASTER MUSIC,MASTERCRAFTSMAN (IRE),MISS MAT MUSIC,Hembra,Firmamento,29,2019,29000,26840.338,0.6005713,0.06340283,0.03807792,2019-09-24,2017-09-08
SLAM MASTER,MASTERCRAFTSMAN (IRE),QUEEN SLAM,Hembra,Firmamento,26,2019,29000,26840.338,0.7274442,0.06931819,0.050425112,2019-09-24,2017-08-27
FANTASTIC CRAF,MASTERCRAFTSMAN (IRE),FANTASTICA ROMA,Macho,Firmamento,8,2019,29000,26840.338,0.73090035,0.13497175,0.0986509,2019-09-24,2017-10-01
MA PERQUE,COSMIC TRIGGER,MAJOR LEAGUE,Hembra,Juan Antonio,8,2023,60000,26831.148,0.52507174,0.01789216,0.009394667,2023-04-25,2021-10-09
FLOR DE BLUES,LE BLUES,FLOWER POWER,Hembra,El Arroyo,13,2023,60000,26831.148,0.5520979,0.0643259,0.035514195,2023-04-25,2021-10-22
CAYUTLAN,HURRICANE CAT (USA),SUNSET BEACH,Macho,El Mallin,4,2021,44000,26791.926,0.7576574,0.08310355,0.06296402,2021-05-19,2019-08-01
LONG CHAPEL,LONG ISLAND SOUND (USA),WHITE CHAPEL,Hembra,Tradicion,9,2024,33000000,26720.648,0.6067408,0.016770868,0.010175569,2024-09-24,2022-08-28
