title,eday,year,genre,auctionOrder,haras1,name,padrilloAuction,yeguaAuction,studbook_id,birth_eday,PR,PS,PRS,valueUSDB,pricePerBp
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Macho,2,Avourneen,STORMY RIVER,LE BLUES,STORMY EMPIRICA,436260,20oct2021,.87344456,.035777025,.031249247,21210.131,6787.4053
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,24,Santa Maria De Araras,CITRUS GIRL,DANIEL BOONE,CINCINNATI FLOWER,430909,04oct2021,.60262036,.099185511,.05977121,19089.119,3193.698
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Macho,3,Avourneen,EPIKON,ANGIOLO,EXPRESS FILLY,436259,18oct2021,.84613085,.019656556,.016632019,10605.065,6376.2949
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Macho,6,Avourneen,MASTERLY,MANIPULATOR,MISTELA CROTTA,427685,02aug2021,.87777859,.030982424,.027195709,4772.2798,1754.7915
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,20,Santa Maria De Araras,QUERENDON,DANIEL BOONE,QUICK EAGLE,431137,11oct2021,.66762054,.14848717,.099133082,7953.7993,802.33551
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,6,Santa Maria De Araras,CTESIFONTE,DANIEL BOONE,CINCIDELLA,430905,30sep2021,.72090667,.10976784,.079132371,13786.585,1742.2181
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,39,Santa Maria De Araras,DOJO KUN,JAPAN,DISNEY QUEEN,428912,19sep2021,.68013138,.067984961,.046238706,12726.079,2752.2568
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,36,Santa Maria De Araras,ORLAND KING,DANIEL BOONE,ORIENTAL QUEEN,430904,27sep2021,.68278569,.087260738,.059580382,6893.2925,1156.9735
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,35,Santa Maria De Araras,ARCONTE GRIEGO,DANIEL BOONE,ATOMIC STAR,432644,25oct2021,.74765682,.091818169,.06864848,8484.0527,1235.869
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,13,Santa Maria De Araras,JAQUE GIRL,DANIEL BOONE,JOLIE JOAN,428779,27aug2021,.70630783,.1730251,.12220898,27042.918,2212.842
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,21,Santa Maria De Araras,FLAME OF LIBERTY,DANIEL BOONE,FLAMEJANTE,432640,23oct2021,.73291147,.05653936,.041438345,16968.105,4094.7837
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,44,Santa Maria De Araras,FUFAL GIRL,DANIEL BOONE,FUNK GIRL,431131,08oct2021,.66939348,.056579757,.037874121,5832.7861,1540.0453
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,25,Santa Maria De Araras,EL GRAN ROMAN,HELIOSTATIC,BY MOONLIGHT,431134,10oct2021,.5831989,.064721324,.037745405,19089.119,5057.3359
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,18,Santa Maria De Araras,FAMILY COURT,JAPAN,FELICIDAD IS BACK,428782,07sep2021,.60209364,.041258287,.024841351,16437.852,6617.1328
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,47,Santa Maria De Araras,SELFIE CHECK,DANIEL BOONE,SERENITY QUEEN,431311,17oct2021,.62423527,.071579061,.044682175,6363.0396,1424.0667
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,5,Santa Maria De Araras,ETERNA DELIA,DANIEL BOONE,ORIGINALIDAD,427393,07aug2021,.73378456,.089288563,.065518565,27042.918,4127.52
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,14,Avourneen,VIVENCIA,EJEKUTOR,VIVA LA FRANCA,433075,24aug2021,.6039955,.0067439904,.00407334,4772.2798,11715.889
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,49,Santa Maria De Araras,TRISTIA,DANIEL BOONE,TALK OF ANGES,,,,,,5832.7861,
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,41,Santa Maria De Araras,VINICIUS GIRL,JAPAN,VIP CLASS,432638,22oct2021,.48910752,.034321096,.016786706,13786.585,8212.7998
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,38,Santa Maria De Araras,CAPRICORNIANA,DANIEL BOONE,CAPRICCIOSA,428776,19aug2021,.64303875,.11776974,.07573051,8484.0527,1120.2952
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,46,Santa Maria De Araras,SAKURA'S QUEEN,JAPAN,SAVAGE NIGHTS,426980,28jul2021,.63285339,.08457002,.053520422,12195.825,2278.7236
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,13,Avourneen,MYSTICS,EJEKUTOR,MANEMUSHA,,,,,,5143.457,
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,9,Santa Maria De Araras,MOUNTAIN PRINCE,DANIEL BOONE,MALIBU HONEY,431881,21oct2021,.81116551,.096410967,.07820525,24391.65,3118.9275
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,14,Santa Maria De Araras,CARPERO,DANIEL BOONE,CARTOMANCIE,427386,20jul2021,.72737503,.17066276,.12413583,15907.599,1281.4672
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,50,Santa Maria De Araras,TIRANA MIA,JAPAN,TRI BACANA,428913,17sep2021,.53234637,.0775088,.041261528,5302.5327,1285.1034
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Macho,27,De La Pomme Uruguay,DONDE FIRMO,MIDSHIPMAN,PONE LA FIRMA,,,,,,9553.2266,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Hembra,43,De La Pomme Uruguay,TAX FREE,IOYA BIGTIME,BRAID,,,,,,7961.0225,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Hembra,26,De La Pomme Uruguay,CANTANDO VENGO,ORB,CANTANDO VOY,,,,,,3184.4089,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Macho,25,De La Pomme Uruguay,ACTIVO FIJO,MIDSHIPMAN,BRAID,,,,,,17832.691,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Hembra,29,De La Pomme Uruguay,LA FUGA,ROBINSON CRUSOE,ENCERADA,,,,,,2865.968,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Hembra,23,De La Pomme Uruguay,PRIMER SUEÑO,TREASURE BEACH,ULTIMO SUENO,,,,,,7642.5815,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Hembra,20,De La Pomme Uruguay,FULL MELODY,FULL MAST,CANTANDO VOY,,,,,,6368.8179,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Macho,32,De La Pomme Uruguay,SIN VUELTAS (USA),ORB,JUILLIARD,,,,,,7961.0225,
Gran Venta Liquidacion Haras De La Pomme Uruguay  Resumen,31mar2023,2023,Macho,33,De La Pomme Uruguay,TIME BANDIT,ORB,BARNEA,,,,,,3057.0327,
