name,padrillo,M,birth_eday,sex,PR,PS,PRS,Haras,value,valueUSDB,pricePerBp,title,source,auctionOrder,studbook_id,year,date
curiosity hit,hit it a bomb,curious day,29sep2019,Hembra,.70969981,.10013007,.071062297,Firmamento,18000,11047.356,1554.6017,Venta Copa Bullrich Mayo  Dia 2  Resumen,https://www.turfdiario.com/venta-copa-bullrich-mayo-dia-2-resumen/,57,416088,2021,"20 may, 2021"
peaky,vagabundo inc,perfect sunrise,06oct2019,Macho,.6762895,.021287294,.014396373,Carampangue,4000,2142.4688,1488.2003,Venta De Productos Haras Carampangue  Resumen,https://www.turfdiario.com/venta-de-productos-haras-carampange-resumen/,19,416099,2021,"19 sep, 2021"
life by life,holy boss,smart bunny,02sep2019,Macho,.84450138,.068458512,.057813309,El Wing,4900,2621.5186,453.44553,Gran Venta Fallow Jockey  Resumen,https://www.turfdiario.com/gran-venta-fallow-jockey-resumen/,16,416110,2021,"19 oct, 2021"
guerriko,bodemeister,gallileo figaro,26sep2019,Macho,.63883847,.057502311,.036734689,La Pasion,24000,14000.185,3811.1619,Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,30,416125,2021,"28 apr, 2021"
saharan queen,seek again,saharan lady,19sep2019,Hembra,.58310503,.029419381,.017154589,La Esperanza,3000,1714.1803,999.25464,Gran Venta Fallow Estrellas  Resumen,https://www.turfdiario.com/gran-venta-fallow-estrellas-resumen-2/,26,416152,2021,"1 jul, 2021"
elegant girl,seek again,eclisa,30sep2019,Hembra,.65174818,.050398458,.032847103,La Esperanza,17000,10433.614,3176.4185,Venta Copa Bullrich Mayo  Dia 2  Resumen,https://www.turfdiario.com/venta-copa-bullrich-mayo-dia-2-resumen/,58,416154,2021,"20 may, 2021"
elbrus,il campione,express plus,09sep2019,Macho,.74382836,.082623944,.061458033,El Paraiso,14000,8693.7188,1414.5781,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,38,416158,2021,"24 apr, 2021"
elbrus,il campione,express plus,09sep2019,Macho,.72620207,.077284634,.056124263,El Paraiso,19000,10147.808,1808.0964,Resumen Venta Primavera Online Haras El Paraiso,https://www.turfdiario.com/resumen-venta-primavera-online-haras-el-paraiso/,5,416158,2021,"26 sep, 2021"
estacion la luisa,il campione,bien bahiara,11sep2019,Hembra,.72719944,.10025845,.072907895,El Paraiso,60000,37258.797,5110.3926,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,31,416167,2021,"24 apr, 2021"
angiolo bravo,angiolo,barajadora,12sep2019,Macho,.73734146,.049871337,.036772203,El Paraiso,17000,9079.6172,2469.1523,Resumen Venta Primavera Online Haras El Paraiso,https://www.turfdiario.com/resumen-venta-primavera-online-haras-el-paraiso/,8,416169,2021,"26 sep, 2021"
el lejano,il campione,saiardhana,13sep2019,Macho,.77580869,.12652607,.098160028,El Paraiso,44000,27323.117,2783.5278,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,9,416172,2021,"24 apr, 2021"
con todo respeto,manipulator,canyouseeme,14sep2019,Macho,.82932568,.051463265,.042679805,El Paraiso,20500,12730.089,2982.696,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,76,416174,2021,"24 apr, 2021"
jardin de boboli,angiolo,actuada,16sep2019,Macho,.72581363,.073944792,.053670138,Tres Jotas,15300,9486.041,1767.4709,"Gran Venta Productos 2019 Haras Orilla Del Monte, Chenaut Y Tres Jotas  Resumen",https://www.turfdiario.com/gran-venta-productos-2019-haras-orilla-del-monte-chenaut-y-tres-jotas-resumen/,11,416179,2021,"16 may, 2021"
el santo remedio,il campione,interfolia,16sep2019,Macho,.80840963,.10389819,.083992295,El Paraiso,17000,10556.659,1256.8605,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,48,416184,2021,"24 apr, 2021"
el mejor recuerdo,il campione,sabiamente,16sep2019,Macho,.7677958,.094471164,.072534561,El Paraiso,21900,13599.461,1874.8939,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,43,416186,2021,"24 apr, 2021"
al altisimo,angiolo,so much fun,16sep2019,Macho,.73232436,.06037828,.044216484,El Paraiso,680000,4805.6538,1086.8467,Gran Venta Anual Haras El Paraiso  Resumen,https://www.turfdiario.com/gran-venta-anual-haras-el-paraiso-resumen/,3,416187,2021,"22 mar, 2021"
